"Praktijk";"Gebounced adres";"Pagina op dierenkliniek.nl";"Eigen website";"Oorzaak";"Opmerking"
"AniCura Den Helder - Texelstroomlaan (Den Helder)";"info@sterkliniekdierenartsendenhelder.nl";"https://dierenkliniek.nl/sterkliniek-dierenartsen-den-helder-dierenarts-in-den-helder";"https://www.anicura.nl/";"adres of domein bestaat niet";"mailadres inmiddels vervangen door denhelder@anicura.nl"
"AniCura Dierenkliniek Delft (Delft)";"dkldelftcentrum@online.nl";"https://dierenkliniek.nl/dierenkliniek-delft-centrum-dierenarts-in-delft";"http://www.dierenkliniekdelftcentrum.nl/";"adres of domein bestaat niet";"mailadres inmiddels vervangen door delft@anicura.nl"
"Caressa Dierenkliniek Amersfoort (Amersfoort)";"amersfoort@dierenziekenhuizen.nl";"https://dierenkliniek.nl/caressa-dierenkliniek-amersfoort-dierenarts-in-amersfoort";"";"geblokkeerd door ontvanger (550 5.7.1)";""
"Caressa Dierenkliniek Delft (Delft)";"mandy@dierenziekenhuizen.nl";"https://dierenkliniek.nl/caressa-dierenkliniek-delft-dierenarts-in-delft";"https://dierenziekenhuizen.nl/locaties/dierenarts-dierenkliniek-delft/";"geblokkeerd door ontvanger (550 5.7.1)";""
"DACWest (Oostburg)";"dacwest@zeelandnet.nl";"https://dierenkliniek.nl/dacwest-dierenarts-in-oostburg";"http://www.dacwest.nl/";"adres of domein bestaat niet";""
"DAP de Drait (Drachten)";"info@dierenartsenpraktijk-de-drait.nl";"https://dierenkliniek.nl/dap-de-drait-dierenarts-in-drachten";"http://dierenartsenpraktijk-de-drait.nl/";"adres of domein bestaat niet";""
"DAP H.M. Huisman - J.D. Wahl (Amsterdam)";"dierenarts@dap-huisman-wahl.com";"https://dierenkliniek.nl/dap-h-m-huisman-j-d-wahl-dierenarts-in-amsterdam";"http://www.dap-huisman-wahl.nl/";"adres of domein bestaat niet";""
"DAP Neederrijn (Arnhem)";"contact@mijndierenartnederrijn.nl";"https://dierenkliniek.nl/dap-neederrijn-dierenarts-in-arnhem";"http://www.dapnederrijn.nl/";"adres of domein bestaat niet";""
"DAP Spierdijk-Obdam (Spierdijk)";"dierenarts@dapspierdijkobdam.nl";"https://dierenkliniek.nl/dap-spierdijk-obdam-dierenarts-in-spierdijk";"http://www.abcdierenarts.nl/";"mailserver ontvanger defect of vol";""
"Dap. De Krayenhoff (Naarden)";"dap.krayenhoff@worldonline.nl";"https://dierenkliniek.nl/dap-de-krayenhoff-dierenarts-in-naarden";"";"adres of domein bestaat niet";""
